college_name,url,college_city,enrollment,tuition
The University of America,https://www.free-4u.com/Colleges/The-University-of-America.html,Murrieta,,"$18,500.00"
The Wright Institute,https://www.free-4u.com/Colleges/The-Wright-Institute.html,Berkeley,445,
Thomas Aquinas College,https://www.free-4u.com/Colleges/Thomas-Aquinas-College.html,Santa Paula,380,"$35,706.00"
Thomas Jefferson School of Law,https://www.free-4u.com/Colleges/Thomas-Jefferson-School-of-Law.html,San Diego,853,
Touro University California,https://www.free-4u.com/Colleges/Touro-University-California.html,Vallejo,"1,536",
Touro University Worldwide,https://www.free-4u.com/Colleges/Touro-University-Worldwide.html,Los Alamitos,856,"$14,600.00"
Trident University International,https://www.free-4u.com/Colleges/Trident-University-International.html,Cypress,"12,438","$8,400.00"
Trinity Law School,https://www.free-4u.com/Colleges/Trinity-Law-School.html,Santa Ana,219,
United States University,https://www.free-4u.com/Colleges/United-States-University.html,Chula Vista,653,"$12,080.00"
Unitek College,https://www.free-4u.com/Colleges/Unitek-College.html,Fremont,"1,210","$22,920.00"
University of Antelope Valley,https://www.free-4u.com/Colleges/University-of-Antelope-Valley.html,Lancaster,"1,311",
University of California Berkeley,https://www.free-4u.com/Colleges/University-of-California-Berkeley.html,Berkeley,"40,514","$34,356.00"
University of California Davis,https://www.free-4u.com/Colleges/University-of-California-Davis.html,Davis,"36,771","$33,759.00"
University of California Hastings College of Law,https://www.free-4u.com/Colleges/University-of-California-Hastings-College-of-Law.html,San Francisco,"1,033",
University of California Irvine,https://www.free-4u.com/Colleges/University-of-California-Irvine.html,Irvine,"32,069","$31,577.00"
University of California Los Angeles,https://www.free-4u.com/Colleges/University-of-California-Los-Angeles.html,Los Angeles,"44,413","$32,978.00"
University of California Merced,https://www.free-4u.com/Colleges/University-of-California-Merced.html,Merced,"6,568","$34,000.00"
University of California Riverside,https://www.free-4u.com/Colleges/University-of-California-Riverside.html,Riverside,"22,963","$32,639.00"
University of California San Diego,https://www.free-4u.com/Colleges/University-of-California-San-Diego.html,La Jolla,"32,420","$31,254.00"
University of California San Francisco,https://www.free-4u.com/Colleges/University-of-California-San-Francisco.html,San Francisco,"3,210",
University of California Santa Barbara,https://www.free-4u.com/Colleges/University-of-California-Santa-Barbara.html,Santa Barbara,"24,492","$34,753.00"
University of California Santa Cruz,https://www.free-4u.com/Colleges/University-of-California-Santa-Cruz.html,Santa Cruz,"18,922","$34,226.00"
University of East West Medicine,https://www.free-4u.com/Colleges/University-of-East-West-Medicine.html,Sunnyvale,369,
